unit_id	artifact	family	json_pointer	unit_kind	authored_identity	loader	runtime_producer	player_consumer	current_reachability	executable_witness	failure_or_limit	verdict	authority_route
balance/achievements/first-content.json#/achievements/5	balance/achievements/first-content.json	achievements	/achievements/5	object_record	achievement.generators_owned_100	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/5/condition	balance/achievements/first-content.json	achievements	/achievements/5/condition	nested_object	generator_id:generator.beige_tower	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/5/proof	balance/achievements/first-content.json	achievements	/achievements/5/proof	nested_object	object:/achievements/5/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/6	balance/achievements/first-content.json	achievements	/achievements/6	object_record	achievement.generators_owned_300	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/6/condition	balance/achievements/first-content.json	achievements	/achievements/6/condition	nested_object	generator_id:generator.beige_tower	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/6/proof	balance/achievements/first-content.json	achievements	/achievements/6/proof	nested_object	object:/achievements/6/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/7	balance/achievements/first-content.json	achievements	/achievements/7	object_record	achievement.generators_purchased_1	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/7/condition	balance/achievements/first-content.json	achievements	/achievements/7/condition	nested_object	object:/achievements/7/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/7/proof	balance/achievements/first-content.json	achievements	/achievements/7/proof	nested_object	object:/achievements/7/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/7/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/7/proof/event_kinds/0	primitive_edge	"generator_purchased"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/8	balance/achievements/first-content.json	achievements	/achievements/8	object_record	achievement.generators_purchased_25	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/8/condition	balance/achievements/first-content.json	achievements	/achievements/8/condition	nested_object	object:/achievements/8/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/8/proof	balance/achievements/first-content.json	achievements	/achievements/8/proof	nested_object	object:/achievements/8/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/8/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/8/proof/event_kinds/0	primitive_edge	"generator_purchased"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/9	balance/achievements/first-content.json	achievements	/achievements/9	object_record	achievement.generators_purchased_25_tier_3	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/9/condition	balance/achievements/first-content.json	achievements	/achievements/9/condition	nested_object	object:/achievements/9/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/9/condition/conditions/0	balance/achievements/first-content.json	achievements	/achievements/9/condition/conditions/0	object_record	object:/achievements/9/condition/conditions/0	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/9/condition/conditions/1	balance/achievements/first-content.json	achievements	/achievements/9/condition/conditions/1	object_record	object:/achievements/9/condition/conditions/1	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/9/proof	balance/achievements/first-content.json	achievements	/achievements/9/proof	nested_object	object:/achievements/9/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/9/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/9/proof/event_kinds/0	primitive_edge	"gate_crossed"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/9/proof/event_kinds/1	balance/achievements/first-content.json	achievements	/achievements/9/proof/event_kinds/1	primitive_edge	"generator_purchased"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/10	balance/achievements/first-content.json	achievements	/achievements/10	object_record	achievement.old_hand	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/10/condition	balance/achievements/first-content.json	achievements	/achievements/10/condition	nested_object	object:/achievements/10/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/10/proof	balance/achievements/first-content.json	achievements	/achievements/10/proof	nested_object	object:/achievements/10/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/10/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/10/proof/event_kinds/0	primitive_edge	"founder_advanced"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/10/proof/event_kinds/1	balance/achievements/first-content.json	achievements	/achievements/10/proof/event_kinds/1	primitive_edge	"run_ended"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/11	balance/achievements/first-content.json	achievements	/achievements/11	object_record	achievement.tier_5	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/11/condition	balance/achievements/first-content.json	achievements	/achievements/11/condition	nested_object	object:/achievements/11/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/11/proof	balance/achievements/first-content.json	achievements	/achievements/11/proof	nested_object	object:/achievements/11/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/11/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/11/proof/event_kinds/0	primitive_edge	"gate_crossed"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/catalogs/phase0.json#/resources/0	balance/catalogs/phase0.json	economy	/resources/0	object_record	company.cash	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/resources/0/hardcap	balance/catalogs/phase0.json	economy	/resources/0/hardcap	nested_object	object:/resources/0/hardcap	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/resources/1	balance/catalogs/phase0.json	economy	/resources/1	object_record	company.permits	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	none in the current T0-T1 player workflow	registered economy row requires absent Tier-2/Tier-3 content	catalog/production tests only; no reachable current default workflow	Current T0-T1 game cannot activate this row	backend_registered_dormant	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/resources/1/hardcap	balance/catalogs/phase0.json	economy	/resources/1/hardcap	nested_object	object:/resources/1/hardcap	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	none in the current T0-T1 player workflow	registered economy row requires absent Tier-2/Tier-3 content	catalog/production tests only; no reachable current default workflow	Current T0-T1 game cannot activate this row	backend_registered_dormant	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0	balance/catalogs/phase0.json	economy	/generator_classes/0	object_record	generator.beige_tower	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/price	balance/catalogs/phase0.json	economy	/generator_classes/0/price	nested_object	resource_id:company.cash	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/price/curve	balance/catalogs/phase0.json	economy	/generator_classes/0/price/curve	nested_object	object:/generator_classes/0/price/curve	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/production	balance/catalogs/phase0.json	economy	/generator_classes/0/production	nested_object	resource_id:company.cash	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/provisioned_hardcap	balance/catalogs/phase0.json	economy	/generator_classes/0/provisioned_hardcap	nested_object	object:/generator_classes/0/provisioned_hardcap	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/ladder/0	balance/catalogs/phase0.json	economy	/generator_classes/0/ladder/0	object_record	object:/generator_classes/0/ladder/0	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/ladder/1	balance/catalogs/phase0.json	economy	/generator_classes/0/ladder/1	object_record	object:/generator_classes/0/ladder/1	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/ladder/2	balance/catalogs/phase0.json	economy	/generator_classes/0/ladder/2	object_record	object:/generator_classes/0/ladder/2	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/roles/0	balance/catalogs/phase0.json	economy	/generator_classes/0/roles/0	object_record	pool_id:pool.operational_excellence	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/roles/1	balance/catalogs/phase0.json	economy	/generator_classes/0/roles/1	object_record	action_id:manual.click	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/0/roles/2	balance/catalogs/phase0.json	economy	/generator_classes/0/roles/2	object_record	object:/generator_classes/0/roles/2	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	none mounted for the provider-specific opportunity/Commons/Fiscal/faction path	backend multiplier/provider contract active outside the mounted default workflow	cold provider binding/production tests	No mounted provider workflow or integrated effect witness	backend_active	Game UI AC1 body reconciliation plus accepted content/UI successor
balance/catalogs/phase0.json#/generator_classes/1	balance/catalogs/phase0.json	economy	/generator_classes/1	object_record	generator.dot_matrix_queue	epochseed/replaycatalog + strict economy catalog	authoritative production/economy transitions	mounted Game UI Desk projection	real producer and mounted consumer exist separately	cold T0-T1 server first-hour plus current-data Game UI fixtures	No row-discriminating composed browser gameplay transition; browser proof stops at Desk	partial_mounted	Game UI AC1 body reconciliation plus accepted content/UI successor
