target	category	tracked_or_external_mutation	ci_consumer	current_evidence_state	evidence_limit_or_gap
verify-commons-boundary	architecture_check	none	server jobs	bounded_valid	inherits root repository-local Go cache; both forbidden dependency directions fail closed (RP-099 closed)
verify-client-boundary	architecture_check	none	client job	partial	component boundary green but ignores runtime direct-fetch authority
verify-kernel-version	history_check	none	client job	bounded_valid	full-history kernel guard plus failing fixtures
verify-ci-topology	workflow_structure_check	none	client job	bounded_valid	ten job/trigger/scope/bound/upload/cache mutations rejected
verify-combat-boundary	architecture_check	none	client job	partial	recursive client check; Go Combat native division outside scope
verify-meters-boundary	architecture_check	none	client job	bounded_valid	structural meter boundary only
verify-achievements-boundary	architecture_check	none	client job	bounded_valid	structural achievement boundary only
verify-server	aggregate	none	none	bounded_slow	local exhaustive server aggregate; intentionally not a push/PR job
verify-server-core	aggregate	none	server job	bounded_valid	server CI slice excluding harness
verify-harness-fast	aggregate	none	harness job	bounded_valid	cold package/role/Commons/history gate; excludes pacing/relevance simulation
verify-harness	aggregate	none	none	bounded_slow	local exhaustive aggregate; maintenance uses observed equivalent
verify-server-ci	docker_aggregate	containers/db	none	bounded_valid	local reproduction of core server job
verify-harness-ci	docker_aggregate	containers/db	none	bounded_slow	Linux reproduction of exhaustive aggregate; no longer push/PR CI
verify-client	aggregate	ignored dist	none	partial	build/tests/structure green; copy/client workflow oracles retain gaps
verify	aggregate	ignored dist+screenshots	none	release_invalid	includes invalid server harness plus partial browser/client proofs
