key	source_catalog	source_label	params	tone	current_orphan_report	mounted_literal_sites	mounted_dynamic_sites	deploy_artifact_refs	go_producer_refs	other_catalog_refs	test_tool_refs	workflow	verdict	evidence_limit
curriculum.first_failure.burnout.body	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Run End bounded branch map@client/src/game-ui/RunEndSurface.svelte:28	-	-	unregistered-current:curriculum@balance/curriculum/t0-t1.json:36	balance/testdata/t0-t1/curriculum-v2.json:36	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
curriculum.first_failure.burnout.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Run End bounded branch map@client/src/game-ui/RunEndSurface.svelte:27	-	-	unregistered-current:curriculum@balance/curriculum/t0-t1.json:35	balance/testdata/t0-t1/curriculum-v2.json:35	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
curriculum.first_failure.pivot.body	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Run End bounded branch map@client/src/game-ui/RunEndSurface.svelte:32	-	-	unregistered-current:curriculum@balance/curriculum/t0-t1.json:46	balance/testdata/t0-t1/curriculum-v2.json:46	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
curriculum.first_failure.pivot.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Run End bounded branch map@client/src/game-ui/RunEndSurface.svelte:31	-	-	unregistered-current:curriculum@balance/curriculum/t0-t1.json:45	balance/testdata/t0-t1/curriculum-v2.json:45	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
curriculum.scripted_first_failure.body	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Run End default branch@client/src/game-ui/RunEndSurface.svelte:35	-	-	-	balance/testdata/t0-t1/curriculum-v1.json:21	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
curriculum.scripted_first_failure.next_run	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	client/src/game-ui/RunEndSurface.svelte:52	-	-	-	unregistered-current:curriculum@balance/curriculum/t0-t1.json:11	balance/testdata/t0-t1/curriculum-v1.json:22;balance/testdata/t0-t1/curriculum-v2.json:11	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
curriculum.scripted_first_failure.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Run End default branch@client/src/game-ui/RunEndSurface.svelte:35	-	-	-	balance/testdata/t0-t1/curriculum-v1.json:20	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.buy_max	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	client/src/game-ui/GameUIApp.svelte:276	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.buy_one	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	client/src/game-ui/GameUIApp.svelte:276;client/src/game-ui/GameUIApp.svelte:287	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.capped_label	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	client/src/game-ui/GameUIApp.svelte:259	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.generators_label	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	client/src/game-ui/GameUIApp.svelte:268	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.manual.meter_frame	copy/catalog/game-ui-candidate.json	game-ui-candidate	cap:integer,current:integer	corporate	orphan	client/src/game-ui/GameUIApp.svelte:254	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.manual.meter_label	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	client/src/game-ui/GameUIApp.svelte:253	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.manual.meter_tooltip	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	client/src/game-ui/GameUIApp.svelte:255	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.owned_frame	copy/catalog/game-ui-candidate.json	game-ui-candidate	count:integer	corporate	orphan	client/src/game-ui/GameUIApp.svelte:274	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.rate_frame	copy/catalog/game-ui-candidate.json	game-ui-candidate	rate:string	corporate	orphan	client/src/game-ui/GameUIApp.svelte:262;client/src/game-ui/GameUIApp.svelte:274	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
desk.upgrades_label	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	client/src/game-ui/GameUIApp.svelte:283	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
event.exit_offer_declined	copy/catalog/game-ui-candidate.json	game-ui-candidate	run_seq:integer	corporate	orphan	-	-	-	-	-	balance/testdata/t0-t1/event-copy-v1.json:4;balance/testdata/t0-t1/event-copy-v2.json:4	test/fixture/tool	fixture_or_tool_only	test/tool selection is not production reachability
event.exit_offer_expired	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	-	-	-	-	-	balance/testdata/t0-t1/event-copy-v1.json:5;balance/testdata/t0-t1/event-copy-v2.json:5	test/fixture/tool	fixture_or_tool_only	test/tool selection is not production reachability
event.exit_offer_resolved	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	-	-	-	-	-	balance/testdata/t0-t1/event-copy-v2.json:6	test/fixture/tool	fixture_or_tool_only	test/tool selection is not production reachability
event.exit_offer_spawned	copy/catalog/game-ui-candidate.json	game-ui-candidate	exit_type:string,expires_at_ms:integer	corporate	orphan	-	-	-	-	-	balance/testdata/t0-t1/event-copy-v1.json:6;balance/testdata/t0-t1/event-copy-v2.json:7	test/fixture/tool	fixture_or_tool_only	test/tool selection is not production reachability
event.gate_crossed	copy/catalog/game-ui-candidate.json	game-ui-candidate	gate_id:string	corporate	orphan	-	-	-	-	-	balance/testdata/t0-t1/event-copy-v1.json:7;balance/testdata/t0-t1/event-copy-v2.json:8	test/fixture/tool	fixture_or_tool_only	test/tool selection is not production reachability
event.generator_purchased	copy/catalog/game-ui-candidate.json	game-ui-candidate	cost:canonical_decimal,count:integer,generator_id:string	corporate	orphan	-	-	-	-	-	balance/testdata/t0-t1/event-copy-v1.json:8;balance/testdata/t0-t1/event-copy-v2.json:9	test/fixture/tool	fixture_or_tool_only	test/tool selection is not production reachability
event.run_ended	copy/catalog/game-ui-candidate.json	game-ui-candidate	attended_ms:integer,exit_type:string,tier:integer	corporate	orphan	-	-	-	-	-	balance/testdata/t0-t1/event-copy-v1.json:9;balance/testdata/t0-t1/event-copy-v2.json:10	test/fixture/tool	fixture_or_tool_only	test/tool selection is not production reachability
event.upgrade_purchased	copy/catalog/game-ui-candidate.json	game-ui-candidate	cost:canonical_decimal,upgrade_id:string	corporate	orphan	-	-	-	-	-	balance/testdata/t0-t1/event-copy-v1.json:10;balance/testdata/t0-t1/event-copy-v2.json:11	test/fixture/tool	fixture_or_tool_only	test/tool selection is not production reachability
exit_type.acquihire.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	-	Offer/Run End exit binding@client/src/game-ui/GameUIApp.svelte:186	-	-	presentation:client/src/game-ui/presentation.generated.json:43	balance/testdata/t0-t1/presentation-v2.json:43;balance/testdata/t0-t1/presentation-v3.json:43	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
exit_type.acquisition.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	-	Offer/Run End exit binding@client/src/game-ui/GameUIApp.svelte:186	-	-	presentation:client/src/game-ui/presentation.generated.json:44	balance/testdata/t0-t1/presentation-v2.json:44;balance/testdata/t0-t1/presentation-v3.json:44	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
exit_type.collapse.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	-	Offer/Run End exit binding@client/src/game-ui/GameUIApp.svelte:186	-	-	presentation:client/src/game-ui/presentation.generated.json:45	balance/testdata/t0-t1/presentation-v2.json:45;balance/testdata/t0-t1/presentation-v3.json:45	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
exit_type.ipo.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	-	Offer/Run End exit binding@client/src/game-ui/GameUIApp.svelte:186	-	-	presentation:client/src/game-ui/presentation.generated.json:46	balance/testdata/t0-t1/presentation-v2.json:46;balance/testdata/t0-t1/presentation-v3.json:46	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
exit_type.scripted_first.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	-	Offer/Run End exit binding@client/src/game-ui/GameUIApp.svelte:186	-	-	presentation:client/src/game-ui/presentation.generated.json:47	balance/testdata/t0-t1/presentation-v2.json:47;balance/testdata/t0-t1/presentation-v3.json:47	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
gate.t0_to_t1.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Desk split binding@client/src/game-ui/GameUIApp.svelte:293	-	-	presentation:client/src/game-ui/presentation.generated.json:40	balance/testdata/t0-t1/presentation-v2.json:40;balance/testdata/t0-t1/presentation-v3.json:40	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
generator.answering_machine.description	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Desk generator binding@client/src/game-ui/GameUIApp.svelte:273	-	-	presentation:client/src/game-ui/presentation.generated.json:4	balance/testdata/t0-t1/presentation-v1.json:4;balance/testdata/t0-t1/presentation-v2.json:4;balance/testdata/t0-t1/presentation-v3.json:4	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
generator.answering_machine.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Desk generator binding@client/src/game-ui/GameUIApp.svelte:273	-	-	presentation:client/src/game-ui/presentation.generated.json:4	balance/testdata/t0-t1/presentation-v1.json:4;balance/testdata/t0-t1/presentation-v2.json:4;balance/testdata/t0-t1/presentation-v3.json:4	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
generator.beige_tower.description	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Desk generator binding@client/src/game-ui/GameUIApp.svelte:273	-	-	presentation:client/src/game-ui/presentation.generated.json:5	balance/testdata/t0-t1/presentation-v1.json:5;balance/testdata/t0-t1/presentation-v2.json:5;balance/testdata/t0-t1/presentation-v3.json:5	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
generator.beige_tower.provisioned_cap	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	referenced	-	-	economy@balance/catalogs/phase0.json:28	-	presentation:client/src/game-ui/presentation.generated.json:5	balance/testdata/t0-t1/economy-v4.json:28;balance/testdata/t0-t1/presentation-v1.json:5;balance/testdata/t0-t1/presentation-v2.json:5;balance/testdata/t0-t1/presentation-v3.json:5	deploy-current economy	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
