capability_id	parent_id	design_ref	user_outcome	actor	producer	consumer	current_data	default_workflow	executable_witness	failure_or_refusal	verdict	authority_route	evidence_limit
V-008.01	V-008	design/00 pillar 7	Have production results decided server-side	player	authoritative production transitions	server intents and mounted snapshot projection	epoch-8 T0-T1 economy	current bounded foundation path for: Have production results decided server-side	cold production/replay tests plus composed browser intents	named limitation prevents the larger claim	proven_bounded_primitive	public consumer/formula proof	Bounded to implemented production/economy operations; not all future mechanics
V-008.02	V-008	design/00 pillar 7	Read published community/contribution formulas	player	generated developer formula artifacts	none mounted or public	formula metadata only	unavailable at 190a4fa: Read published community/contribution formulas	none for player/community access	no production producer-to-consumer path	absent	public consumer/formula proof	No published in-product or public formula consumer
V-009.01	V-009	design/00 anti-goals	Play in a browser	player	browser Game UI plus hardcap catalogs	mounted Desk/Offer/Run End/Settings/Vision	epoch-8 T0-T1	partial current path for: Play in a browser	browser/accessibility probes	named limitation prevents the larger claim	partial_integration	accessibility/mobile/formula/fallback audits	320px reflow and broader in-game-tool/bot-rule claims remain unproved
V-009.02	V-009	design/00 anti-goals	Complete core play on a mobile-width viewport	player	browser Game UI plus hardcap catalogs	mounted Desk/Offer/Run End/Settings/Vision	epoch-8 T0-T1	partial current path for: Complete core play on a mobile-width viewport	browser/accessibility probes	named limitation prevents the larger claim	partial_integration	accessibility/mobile/formula/fallback audits	320px reflow and broader in-game-tool/bot-rule claims remain unproved
V-009.03	V-009	design/00 anti-goals	See every cap as a visible hard number	player	browser Game UI plus hardcap catalogs	mounted Desk/Offer/Run End/Settings/Vision	epoch-8 T0-T1	partial current path for: See every cap as a visible hard number	browser/accessibility probes	named limitation prevents the larger claim	partial_integration	accessibility/mobile/formula/fallback audits	320px reflow and broader in-game-tool/bot-rule claims remain unproved
V-009.04	V-009	design/00 anti-goals	Use in-game tools instead of a required external wiki	player	browser Game UI plus hardcap catalogs	mounted Desk/Offer/Run End/Settings/Vision	epoch-8 T0-T1	partial current path for: Use in-game tools instead of a required external wiki	browser/accessibility probes	named limitation prevents the larger claim	partial_integration	accessibility/mobile/formula/fallback audits	320px reflow and broader in-game-tool/bot-rule claims remain unproved
V-009.05	V-009	design/00 anti-goals	Compete without bots or players receiving unearned rule exceptions	player	shared server validation primitives	none in a competitive player workflow	no mounted competitive mode	backend/data path only; intended player path unavailable: Compete without bots or players receiving unearned rule exceptions	backend tests only	named limitation prevents the larger claim	backend_or_data_only	accessibility/mobile/formula/fallback audits	Validation foundations do not prove a competitive bot/human workflow
T-000.01	T-000	design/01 Tier 0	Perform the Tier-0 manual action	player	production manual-action and generator intents	mounted Game UI Desk	epoch-8 economy/presentation/copy	partial current path for: Perform the Tier-0 manual action	composed browser bootstrap-to-Desk and server first-hour	named limitation prevents the larger claim	partial_integration	full first-session workflow	Core action/economy render; complete tutorial/nostalgia acceptance is absent
T-000.02	T-000	design/01 Tier 0	Buy and benefit from Tier-0 generators	player	production manual-action and generator intents	mounted Game UI Desk	epoch-8 economy/presentation/copy	partial current path for: Buy and benefit from Tier-0 generators	composed browser bootstrap-to-Desk and server first-hour	named limitation prevents the larger claim	partial_integration	full first-session workflow	Core action/economy render; complete tutorial/nostalgia acceptance is absent
T-000.03	T-000	design/01 Tier 0	Use the honest 1995 presentation	player	production manual-action and generator intents	mounted Game UI Desk	epoch-8 economy/presentation/copy	partial current path for: Use the honest 1995 presentation	composed browser bootstrap-to-Desk and server first-hour	named limitation prevents the larger claim	partial_integration	full first-session workflow	Core action/economy render; complete tutorial/nostalgia acceptance is absent
T-000.04	T-000	design/01 Tier 0	Understand Tier-0 play through diegetic teaching	player	production manual-action and generator intents	mounted Game UI Desk	epoch-8 economy/presentation/copy	partial current path for: Understand Tier-0 play through diegetic teaching	composed browser bootstrap-to-Desk and server first-hour	named limitation prevents the larger claim	partial_integration	full first-session workflow	Core action/economy render; complete tutorial/nostalgia acceptance is absent
T-001.01	T-001	design/01 Tier 1	Progress through the Tier-1 generator cost curve	player	economy upgrade/generator transitions	mounted Game UI Desk	nine generators ten upgrades and free cosmetic copy	partial current path for: Progress through the Tier-1 generator cost curve	cold server first-hour plus browser fixtures	named limitation prevents the larger claim	partial_integration	full first-hour workflow and content trace	Browser does not execute the whole first-hour transition
T-001.02	T-001	design/01 Tier 1	Buy and benefit from Tier-1 upgrades	player	economy upgrade/generator transitions	mounted Game UI Desk	nine generators ten upgrades and free cosmetic copy	partial current path for: Buy and benefit from Tier-1 upgrades	cold server first-hour plus browser fixtures	named limitation prevents the larger claim	partial_integration	full first-hour workflow and content trace	Browser does not execute the whole first-hour transition
T-001.03	T-001	design/01 Tier 1	Make a meaningful Tier-1 buy-order choice	player	economy upgrade/generator transitions	mounted Game UI Desk	nine generators ten upgrades and free cosmetic copy	partial current path for: Make a meaningful Tier-1 buy-order choice	cold server first-hour plus browser fixtures	named limitation prevents the larger claim	partial_integration	full first-hour workflow and content trace	Browser does not execute the whole first-hour transition
T-001.04	T-001	design/01 Tier 1	Automate Tier-0 manual work	player	none for automation	none	reply-all upgrade doubles manual output but does not automate it	unavailable at 190a4fa: Automate Tier-0 manual work	none	no production producer-to-consumer path	absent	full first-hour workflow and content trace	A manual multiplier is not automation
T-001.05	T-001	design/01 Tier 1	Encounter the free-shop satire	player	economy upgrade/generator transitions	mounted Game UI Desk	nine generators ten upgrades and free cosmetic copy	partial current path for: Encounter the free-shop satire	cold server first-hour plus browser fixtures	named limitation prevents the larger claim	partial_integration	full first-hour workflow and content trace	Browser does not execute the whole first-hour transition
T-002.01	T-002	design/01 Tier 2	Allocate finite Tier-2 headcount among roles	player	none	none	no headcount/role catalog	unavailable at 190a4fa: Allocate finite Tier-2 headcount among roles	none	no production producer-to-consumer path	absent	content/RFC DAG	Tier-2 allocation grammar is absent
T-002.02	T-002	design/01 Tier 2	Observe Soul in Tier 2	player	Soul catalog/recovery backend	none mounted	three recovery rows and zero debit sources	backend/data path only; intended player path unavailable: Observe Soul in Tier 2	backend package/Postgres tests	named limitation prevents the larger claim	backend_or_data_only	content/RFC DAG	Soul state/recovery backend exists without Tier-2 meter/choice UI; drains have no current data
T-002.03	T-002	design/01 Tier 2	Change Soul through Tier-2 choices	player	Soul catalog/recovery backend	none mounted	three recovery rows and zero debit sources	backend/data path only; intended player path unavailable: Change Soul through Tier-2 choices	backend package/Postgres tests	named limitation prevents the larger claim	backend_or_data_only	content/RFC DAG	Soul state/recovery backend exists without Tier-2 meter/choice UI; drains have no current data
T-002.04	T-002	design/01 Tier 2	Choose a faction through a Faustian bargain	player	faction catalog/incorporation transition	none mounted	four factions	backend/data path only; intended player path unavailable: Choose a faction through a Faustian bargain	backend package/Postgres tests	named limitation prevents the larger claim	backend_or_data_only	content/RFC DAG	No Faustian choice surface
T-002.05	T-002	design/01 Tier 2	Access the first major minigames	player	Pitch and minigame API backend	none mounted	Pitch only	backend/data path only; intended player path unavailable: Access the first major minigames	backend package/Postgres tests	named limitation prevents the larger claim	backend_or_data_only	content/RFC DAG	No player minigame surface
T-002.06	T-002	design/01 Tier 2	Take the first elective Exit	player	Prestige offer/Exit backend	Offer Sheet/Run End	early Prestige policy	partial current path for: Take the first elective Exit	backend package/Postgres tests	named limitation prevents the larger claim	partial_integration	content/RFC DAG	Elective-offer path exists, but Tier-2/full continuation scope is unproved
T-003.01	T-003	design/01 Tier 3	Price cloud capacity against tenant demand	player	no tenant-market runtime	none	no tenant/Bakery/daemon content	unavailable at 190a4fa: Price cloud capacity against tenant demand	none	no production producer-to-consumer path	absent	content/RFC DAG	Backend foundations elsewhere do not implement Tier 3
T-003.02	T-003	design/01 Tier 3	Manage distinct tenant workload curves	player	no tenant-market runtime	none	no tenant/Bakery/daemon content	unavailable at 190a4fa: Manage distinct tenant workload curves	none	no production producer-to-consumer path	absent	content/RFC DAG	Backend foundations elsewhere do not implement Tier 3
T-003.03	T-003	design/01 Tier 3	Meet tenant SLA constraints	player	no tenant-market runtime	none	no tenant/Bakery/daemon content	unavailable at 190a4fa: Meet tenant SLA constraints	none	no production producer-to-consumer path	absent	content/RFC DAG	Backend foundations elsewhere do not implement Tier 3
T-003.04	T-003	design/01 Tier 3	Choose an irreversible enshittification stage	player	no tenant-market runtime	none	no tenant/Bakery/daemon content	unavailable at 190a4fa: Choose an irreversible enshittification stage	none	no production producer-to-consumer path	absent	content/RFC DAG	Backend foundations elsewhere do not implement Tier 3
T-003.05	T-003	design/01 Tier 3	Automate headcount management	player	no tenant-market runtime	none	no tenant/Bakery/daemon content	unavailable at 190a4fa: Automate headcount management	none	no production producer-to-consumer path	absent	content/RFC DAG	Backend foundations elsewhere do not implement Tier 3
T-003.06	T-003	design/01 Tier 3	Operate the Bakery tenant	operator	no tenant-market runtime	none	no tenant/Bakery/daemon content	unavailable at 190a4fa: Operate the Bakery tenant	none	no production producer-to-consumer path	absent	content/RFC DAG	Backend foundations elsewhere do not implement Tier 3
T-003.07	T-003	design/01 Tier 3	Use the tenant daemon lifecycle	player	no tenant-market runtime	none	no tenant/Bakery/daemon content	unavailable at 190a4fa: Use the tenant daemon lifecycle	none	no production producer-to-consumer path	absent	content/RFC DAG	Backend foundations elsewhere do not implement Tier 3
T-004.01	T-004	design/01 Tier 4	Draft a region on the shared map	player	none	none	none	unavailable at 190a4fa: Draft a region on the shared map	none	no production producer-to-consumer path	absent	world/content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-004.02	T-004	design/01 Tier 4	Manage physical capacity constraints	player	none	none	none	unavailable at 190a4fa: Manage physical capacity constraints	none	no production producer-to-consumer path	absent	world/content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-004.03	T-004	design/01 Tier 4	See every rack/site in the diorama	player	none	none	none	unavailable at 190a4fa: See every rack/site in the diorama	none	no production producer-to-consumer path	absent	world/content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-004.04	T-004	design/01 Tier 4	Record addressed Externality entries	player	none	none	none	unavailable at 190a4fa: Record addressed Externality entries	none	no production producer-to-consumer path	absent	world/content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-004.05	T-004	design/01 Tier 4	Automate pricing	player	none	none	none	unavailable at 190a4fa: Automate pricing	none	no production producer-to-consumer path	absent	world/content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-005.01	T-005	design/01 Tier 5	Allocate compute data and safety research	player	none	none	none	unavailable at 190a4fa: Allocate compute data and safety research	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-005.02	T-005	design/01 Tier 5	Commit to timed model-training runs	player	none	none	none	unavailable at 190a4fa: Commit to timed model-training runs	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-005.03	T-005	design/01 Tier 5	Experience recursive model collapse	player	none	none	none	unavailable at 190a4fa: Experience recursive model collapse	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-005.04	T-005	design/01 Tier 5	Choose a Safety or e/acc research route	player	none	none	none	unavailable at 190a4fa: Choose a Safety or e/acc research route	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-005.05	T-005	design/01 Tier 5	Automate datacenter operation	player	none	none	none	unavailable at 190a4fa: Automate datacenter operation	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-006.01	T-006	design/01 Tier 6	Author a founder policy script	content author	none	none	none	unavailable at 190a4fa: Author a founder policy script	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-006.02	T-006	design/01 Tier 6	Execute a founder policy script	player	none	none	none	unavailable at 190a4fa: Execute a founder policy script	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-006.03	T-006	design/01 Tier 6	Save a policy script	player	none	none	none	unavailable at 190a4fa: Save a policy script	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-006.04	T-006	design/01 Tier 6	Name a policy script	player	none	none	none	unavailable at 190a4fa: Name a policy script	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-006.05	T-006	design/01 Tier 6	Share a policy script	player	none	none	none	unavailable at 190a4fa: Share a policy script	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-006.06	T-006	design/01 Tier 6	Manage founder mortality through longevity choices	player	none	none	none	unavailable at 190a4fa: Manage founder mortality through longevity choices	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-006.07	T-006	design/01 Tier 6	Use billionaire-layer Personal Wealth	player	none	none	none	unavailable at 190a4fa: Use billionaire-layer Personal Wealth	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-006.08	T-006	design/01 Tier 6	Automate active lower-tier play	player	none	none	none	unavailable at 190a4fa: Automate active lower-tier play	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-007.01	T-007	design/01 Tier 7	Optimize an increasingly self-playing system	player	none	none	none	unavailable at 190a4fa: Optimize an increasingly self-playing system	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-007.02	T-007	design/01 Tier 7	Use TAS-like route planning	player	none	none	none	unavailable at 190a4fa: Use TAS-like route planning	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-007.03	T-007	design/01 Tier 7	Choose a Transcendence path	player	none	none	none	unavailable at 190a4fa: Choose a Transcendence path	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-007.04	T-007	design/01 Tier 7	Resolve founder Soul consequences	player	none	none	none	unavailable at 190a4fa: Resolve founder Soul consequences	none	no production producer-to-consumer path	absent	content/RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-008.01	T-008	design/01 Tier 8	Manage Planet depletion as the terminal grammar	player	none	none	none	unavailable at 190a4fa: Manage Planet depletion as the terminal grammar	none	no production producer-to-consumer path	absent	world/endgame RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-008.02	T-008	design/01 Tier 8	Choose a terminal response to depletion	player	none	none	none	unavailable at 190a4fa: Choose a terminal response to depletion	none	no production producer-to-consumer path	absent	world/endgame RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-008.03	T-008	design/01 Tier 8	See the shared world resolve the ending	player	none	none	none	unavailable at 190a4fa: See the shared world resolve the ending	none	no production producer-to-consumer path	absent	world/endgame RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
T-009.01	T-009	design/01 endings	Reach the Ascension ending	player	none	none	none	unavailable at 190a4fa: Reach the Ascension ending	none	no production producer-to-consumer path	absent	owner release scope plus verified content contracts	binding intent exists; current module/fixture/future design receives no implementation credit
T-009.02	T-009	design/01 endings	Reach the Long Decay ending	player	none	none	none	unavailable at 190a4fa: Reach the Long Decay ending	none	no production producer-to-consumer path	absent	owner release scope plus verified content contracts	binding intent exists; current module/fixture/future design receives no implementation credit
T-009.03	T-009	design/01 endings	Reach the Both Graphs ending	player	none	none	none	unavailable at 190a4fa: Reach the Both Graphs ending	none	no production producer-to-consumer path	absent	owner release scope plus verified content contracts	binding intent exists; current module/fixture/future design receives no implementation credit
T-009.04	T-009	design/01 endings	Reach designed ending variants	player	none	none	none	unavailable at 190a4fa: Reach designed ending variants	none	no production producer-to-consumer path	absent	owner release scope plus verified content contracts	binding intent exists; current module/fixture/future design receives no implementation credit
T-010.01	T-010	design/01 prestige	Receive tier-flavored Exit offers	player	Prestige offer/Exit/run-start transitions	Offer Sheet and Run End; no Wind Down/continue	prestige and curriculum artifacts	partial current path for: Receive tier-flavored Exit offers	cold server first-hour and component/browser fixtures	named limitation prevents the larger claim	partial_integration	Prestige closeout plus later-tier content	Only the early Exit path exists; multi-run arc and player continuation are incomplete
T-010.02	T-010	design/01 prestige	Choose to accept or decline an Exit offer	player	Prestige offer/Exit/run-start transitions	Offer Sheet and Run End; no Wind Down/continue	prestige and curriculum artifacts	partial current path for: Choose to accept or decline an Exit offer	cold server first-hour and component/browser fixtures	named limitation prevents the larger claim	partial_integration	Prestige closeout plus later-tier content	Only the early Exit path exists; multi-run arc and player continuation are incomplete
T-010.03	T-010	design/01 prestige	Carry Founder progression across runs	player	Founder replay/save carry	Run End terms only	early Founder state	backend/data path only; intended player path unavailable: Carry Founder progression across runs	cold server first-hour and component/browser fixtures	named limitation prevents the larger claim	backend_or_data_only	Prestige closeout plus later-tier content	Carry state exists without complete player management/presentation
T-010.04	T-010	design/01 prestige	Complete a multi-run arc	player	early Exit/run-start transitions	Run End has no continue control	scripted first failure only	unavailable at 190a4fa: Complete a multi-run arc	none in browser	no production producer-to-consumer path	absent	Prestige closeout plus later-tier content	No production player continuation or complete multi-run arc
E-001.01	E-001	design/02 §1	Persist Company-scoped state	player	versioned Save Store and scoped replay state	server packages; limited Game UI company/founder projection	epoch-8 catalogs and Postgres migrations	current bounded foundation path for: Persist Company-scoped state	cold save/production/guild/world package tests	named limitation prevents the larger claim	proven_bounded_primitive	per-scope persistence and consumer audit	Persistence primitives do not imply mounted World/Guild workflows
E-001.02	E-001	design/02 §1	Persist Founder-scoped state	player	versioned Save Store and scoped replay state	server packages; limited Game UI company/founder projection	epoch-8 catalogs and Postgres migrations	current bounded foundation path for: Persist Founder-scoped state	cold save/production/guild/world package tests	named limitation prevents the larger claim	proven_bounded_primitive	per-scope persistence and consumer audit	Persistence primitives do not imply mounted World/Guild workflows
E-001.03	E-001	design/02 §1	Persist World-scoped state	player	versioned Save Store and scoped replay state	server packages; limited Game UI company/founder projection	epoch-8 catalogs and Postgres migrations	current bounded foundation path for: Persist World-scoped state	cold save/production/guild/world package tests	named limitation prevents the larger claim	proven_bounded_primitive	per-scope persistence and consumer audit	Persistence primitives do not imply mounted World/Guild workflows
E-001.04	E-001	design/02 §1	Persist Guild-scoped state	player	versioned Save Store and scoped replay state	server packages; limited Game UI company/founder projection	epoch-8 catalogs and Postgres migrations	current bounded foundation path for: Persist Guild-scoped state	cold save/production/guild/world package tests	named limitation prevents the larger claim	proven_bounded_primitive	per-scope persistence and consumer audit	Persistence primitives do not imply mounted World/Guild workflows
E-002.01	E-002	design/02 §2.1	Apply declarative geometric generator costs	player	economy catalog and Decimal bulk-cost kernel	production intents and Game UI affordability	epoch-8 economy	current bounded foundation path for: Apply declarative geometric generator costs	cold economy vectors and composed first-hour	named limitation prevents the larger claim	proven_bounded_primitive	preserve golden/cold witnesses	Bounded to current cost grammar and Decimal range
E-002.02	E-002	design/02 §2.1	Compute exact bulk affordability	player	economy catalog and Decimal bulk-cost kernel	production intents and Game UI affordability	epoch-8 economy	current bounded foundation path for: Compute exact bulk affordability	cold economy vectors and composed first-hour	named limitation prevents the larger claim	proven_bounded_primitive	preserve golden/cold witnesses	Bounded to current cost grammar and Decimal range
