capability_id	parent_id	design_ref	user_outcome	parent_preliminary_state	parent_route
V-009.03	V-009	design/00 anti-goals	See every cap as a visible hard number	partial	accessibility/mobile/formula/fallback audits
V-009.04	V-009	design/00 anti-goals	Use in-game tools instead of a required external wiki	partial	accessibility/mobile/formula/fallback audits
V-009.05	V-009	design/00 anti-goals	Compete without bots or players receiving unearned rule exceptions	partial	accessibility/mobile/formula/fallback audits
T-000.01	T-000	design/01 Tier 0	Perform the Tier-0 manual action	partial_browser_integration	full first-session workflow
T-000.02	T-000	design/01 Tier 0	Buy and benefit from Tier-0 generators	partial_browser_integration	full first-session workflow
T-000.03	T-000	design/01 Tier 0	Use the honest 1995 presentation	partial_browser_integration	full first-session workflow
T-000.04	T-000	design/01 Tier 0	Understand Tier-0 play through diegetic teaching	partial_browser_integration	full first-session workflow
T-001.01	T-001	design/01 Tier 1	Progress through the Tier-1 generator cost curve	partial_browser_integration	full first-hour workflow and content trace
T-001.02	T-001	design/01 Tier 1	Buy and benefit from Tier-1 upgrades	partial_browser_integration	full first-hour workflow and content trace
T-001.03	T-001	design/01 Tier 1	Make a meaningful Tier-1 buy-order choice	partial_browser_integration	full first-hour workflow and content trace
T-001.04	T-001	design/01 Tier 1	Automate Tier-0 manual work	partial_browser_integration	full first-hour workflow and content trace
T-001.05	T-001	design/01 Tier 1	Encounter the free-shop satire	partial_browser_integration	full first-hour workflow and content trace
T-002.01	T-002	design/01 Tier 2	Allocate finite Tier-2 headcount among roles	absent_beyond_foundations	content/RFC DAG
T-002.02	T-002	design/01 Tier 2	Observe Soul in Tier 2	absent_beyond_foundations	content/RFC DAG
T-002.03	T-002	design/01 Tier 2	Change Soul through Tier-2 choices	absent_beyond_foundations	content/RFC DAG
T-002.04	T-002	design/01 Tier 2	Choose a faction through a Faustian bargain	absent_beyond_foundations	content/RFC DAG
T-002.05	T-002	design/01 Tier 2	Access the first major minigames	absent_beyond_foundations	content/RFC DAG
T-002.06	T-002	design/01 Tier 2	Take the first elective Exit	absent_beyond_foundations	content/RFC DAG
T-003.01	T-003	design/01 Tier 3	Price cloud capacity against tenant demand	absent_beyond_foundations	content/RFC DAG
T-003.02	T-003	design/01 Tier 3	Manage distinct tenant workload curves	absent_beyond_foundations	content/RFC DAG
T-003.03	T-003	design/01 Tier 3	Meet tenant SLA constraints	absent_beyond_foundations	content/RFC DAG
T-003.04	T-003	design/01 Tier 3	Choose an irreversible enshittification stage	absent_beyond_foundations	content/RFC DAG
T-003.05	T-003	design/01 Tier 3	Automate headcount management	absent_beyond_foundations	content/RFC DAG
T-003.06	T-003	design/01 Tier 3	Operate the Bakery tenant	absent_beyond_foundations	content/RFC DAG
T-003.07	T-003	design/01 Tier 3	Use the tenant daemon lifecycle	absent_beyond_foundations	content/RFC DAG
T-004.01	T-004	design/01 Tier 4	Draft a region on the shared map	absent	world/content/RFC DAG
T-004.02	T-004	design/01 Tier 4	Manage physical capacity constraints	absent	world/content/RFC DAG
T-004.03	T-004	design/01 Tier 4	See every rack/site in the diorama	absent	world/content/RFC DAG
T-004.04	T-004	design/01 Tier 4	Record addressed Externality entries	absent	world/content/RFC DAG
T-004.05	T-004	design/01 Tier 4	Automate pricing	absent	world/content/RFC DAG
T-005.01	T-005	design/01 Tier 5	Allocate compute data and safety research	absent	content/RFC DAG
T-005.02	T-005	design/01 Tier 5	Commit to timed model-training runs	absent	content/RFC DAG
T-005.03	T-005	design/01 Tier 5	Experience recursive model collapse	absent	content/RFC DAG
T-005.04	T-005	design/01 Tier 5	Choose a Safety or e/acc research route	absent	content/RFC DAG
T-005.05	T-005	design/01 Tier 5	Automate datacenter operation	absent	content/RFC DAG
T-006.01	T-006	design/01 Tier 6	Author a founder policy script	absent	content/RFC DAG
T-006.02	T-006	design/01 Tier 6	Execute a founder policy script	absent	content/RFC DAG
T-006.03	T-006	design/01 Tier 6	Save a policy script	absent	content/RFC DAG
T-006.04	T-006	design/01 Tier 6	Name a policy script	absent	content/RFC DAG
T-006.05	T-006	design/01 Tier 6	Share a policy script	absent	content/RFC DAG
T-006.06	T-006	design/01 Tier 6	Manage founder mortality through longevity choices	absent	content/RFC DAG
T-006.07	T-006	design/01 Tier 6	Use billionaire-layer Personal Wealth	absent	content/RFC DAG
T-006.08	T-006	design/01 Tier 6	Automate active lower-tier play	absent	content/RFC DAG
T-007.01	T-007	design/01 Tier 7	Optimize an increasingly self-playing system	absent	content/RFC DAG
T-007.02	T-007	design/01 Tier 7	Use TAS-like route planning	absent	content/RFC DAG
T-007.03	T-007	design/01 Tier 7	Choose a Transcendence path	absent	content/RFC DAG
T-007.04	T-007	design/01 Tier 7	Resolve founder Soul consequences	absent	content/RFC DAG
T-008.01	T-008	design/01 Tier 8	Manage Planet depletion as the terminal grammar	absent	world/endgame RFC DAG
T-008.02	T-008	design/01 Tier 8	Choose a terminal response to depletion	absent	world/endgame RFC DAG
T-008.03	T-008	design/01 Tier 8	See the shared world resolve the ending	absent	world/endgame RFC DAG
T-009.01	T-009	design/01 endings	Reach the Ascension ending	absent	owner release scope plus verified content contracts
T-009.02	T-009	design/01 endings	Reach the Long Decay ending	absent	owner release scope plus verified content contracts
T-009.03	T-009	design/01 endings	Reach the Both Graphs ending	absent	owner release scope plus verified content contracts
T-009.04	T-009	design/01 endings	Reach designed ending variants	absent	owner release scope plus verified content contracts
T-010.01	T-010	design/01 prestige	Receive tier-flavored Exit offers	bounded_t0_t1_only	Prestige closeout plus later-tier content
T-010.02	T-010	design/01 prestige	Choose to accept or decline an Exit offer	bounded_t0_t1_only	Prestige closeout plus later-tier content
T-010.03	T-010	design/01 prestige	Carry Founder progression across runs	bounded_t0_t1_only	Prestige closeout plus later-tier content
T-010.04	T-010	design/01 prestige	Complete a multi-run arc	bounded_t0_t1_only	Prestige closeout plus later-tier content
E-001.01	E-001	design/02 §1	Persist Company-scoped state	mechanical_fragments	per-scope persistence and consumer audit
E-001.02	E-001	design/02 §1	Persist Founder-scoped state	mechanical_fragments	per-scope persistence and consumer audit
E-001.03	E-001	design/02 §1	Persist World-scoped state	mechanical_fragments	per-scope persistence and consumer audit
E-001.04	E-001	design/02 §1	Persist Guild-scoped state	mechanical_fragments	per-scope persistence and consumer audit
E-002.01	E-002	design/02 §2.1	Apply declarative geometric generator costs	proven_bounded	preserve golden/cold witnesses
E-002.02	E-002	design/02 §2.1	Compute exact bulk affordability	proven_bounded	preserve golden/cold witnesses
E-003.01	E-003	design/02 §2.2	Apply the production stack in declared order	partial	all named multiplier producers and formula UI
E-003.02	E-003	design/02 §2.2	Show the contribution formula to the player	partial	all named multiplier producers and formula UI
E-003.03	E-003	design/02 §2.2	Clamp each configured production hardcap visibly	partial	all named multiplier producers and formula UI
E-004.01	E-004	design/02 §2.3	Activate deterministic attended-time buff windows	partial	active-play plus missing daemons/UI trace
E-004.02	E-004	design/02 §2.3	Apply the Lucky bank formula	partial	active-play plus missing daemons/UI trace
E-004.03	E-004	design/02 §2.3	Validate active clicks server-side	partial	active-play plus missing daemons/UI trace
E-004.04	E-004	design/02 §2.3	Use attach accrue and pop daemon mechanics	partial	active-play plus missing daemons/UI trace
E-005.01	E-005	design/02 §2.4	Accrue offline production at 90 percent	proven_bounded	browser return presentation pending
E-005.02	E-005	design/02 §2.4	Clamp one offline span to 24 hours	proven_bounded	browser return presentation pending
E-005.03	E-005	design/02 §2.4	Show the credited offline result on return	proven_bounded	browser return presentation pending
E-006.01	E-006	design/02 §2c	Apply mandatory economy sinks	partial	catalog/economy/achievement audit
E-006.02	E-006	design/02 §2c	Mint currencies only through declared cap owners	partial	catalog/economy/achievement audit
E-006.03	E-006	design/02 §2c	Evaluate achievement provenance proof	partial	catalog/economy/achievement audit
E-006.04	E-006	design/02 §2c	Evaluate achievement possession proof	partial	catalog/economy/achievement audit
E-006.05	E-006	design/02 §2c	Evaluate achievement burn proof	partial	catalog/economy/achievement audit
E-007.01	E-007	design/02 §3	Earn and spend Reputation	partial	per-currency producer/consumer workflow
E-007.02	E-007	design/02 §3	Carry designated Network slots	partial	per-currency producer/consumer workflow
E-007.03	E-007	design/02 §3	Earn and spend Route Knowledge	partial	per-currency producer/consumer workflow
E-007.04	E-007	design/02 §3	Earn and use Clout	partial	per-currency producer/consumer workflow
E-007.05	E-007	design/02 §3	Extract and spend Personal Wealth	partial	per-currency producer/consumer workflow
E-007.06	E-007	design/02 §3	Advance Founder Age	partial	per-currency producer/consumer workflow
E-008.01	E-008	design/02 §3.3	Receive full-terms acquihire or acquisition offers	partial	T0-T1 scripted offer only; broader content absent
E-008.02	E-008	design/02 §3.3	Wind Down a run on demand	partial	T0-T1 scripted offer only; broader content absent
E-008.03	E-008	design/02 §3.3	Complete a doctrine-gated IPO Exit	partial	T0-T1 scripted offer only; broader content absent
E-008.04	E-008	design/02 §3.3	Strip-mine a branch before Exit	partial	T0-T1 scripted offer only; broader content absent
E-009.01	E-009	design/02 §4	Observe the shared Planet ratchet	mechanical_fragments	world/player consumers absent
E-009.02	E-009	design/02 §4	Contribute to a community milestone	mechanical_fragments	world/player consumers absent
E-009.03	E-009	design/02 §4	Accrue and spend guild tithe value	mechanical_fragments	world/player consumers absent
E-009.04	E-009	design/02 §4	Earn and spend Influence	mechanical_fragments	world/player consumers absent
E-010.01	E-010	design/02 §5	Advance an Earnings Call on wall time only	backend_fragment	player ritual/UI proof
E-010.02	E-010	design/02 §5	Harvest early with declared failure probability	backend_fragment	player ritual/UI proof
E-010.03	E-010	design/02 §5	Receive guaranteed or automatic harvest	backend_fragment	player ritual/UI proof
E-010.04	E-010	design/02 §5	Spend Investor Confidence	backend_fragment	player ritual/UI proof
E-010.05	E-010	design/02 §5	Choose between hoarding and spending Confidence	backend_fragment	player ritual/UI proof
E-011.01	E-011	design/02 §6	Mint Clout from the single declared social source	mechanical_fragment	mint ownership and player consumers
E-011.02	E-011	design/02 §6	Persist Clout without adding it directly to production	mechanical_fragment	mint ownership and player consumers
E-011.03	E-011	design/02 §6	Spend lifetime Clout on reach	mechanical_fragment	mint ownership and player consumers
E-011.04	E-011	design/02 §6	Use run-local Clout through declared production effects	mechanical_fragment	mint ownership and player consumers
E-012.01	E-012	design/02 §7	Observe ten independent Trust bars	mechanical_fragment	full moral content and decorrelation gate
E-012.02	E-012	design/02 §7	Observe Soul separately from Trust	mechanical_fragment	full moral content and decorrelation gate
E-012.03	E-012	design/02 §7	Record Externality as addressed ledger entries	mechanical_fragment	full moral content and decorrelation gate
E-012.04	E-012	design/02 §7	Keep p-doom as a pressure meter	mechanical_fragment	full moral content and decorrelation gate
E-012.05	E-012	design/02 §7	Gate routes on dated facts	mechanical_fragment	full moral content and decorrelation gate
E-012.06	E-012	design/02 §7	Gate endings on dated facts	mechanical_fragment	full moral content and decorrelation gate
E-012.07	E-012	design/02 §7	Detect Trust-Soul correlation drift	mechanical_fragment	full moral content and decorrelation gate
E-013.01	E-013	design/02 §8	Drain Soul from declared choices	backend_fragment	player recovery surface and endgame
E-013.02	E-013	design/02 §8	Lock human content by Soul band	backend_fragment	player recovery surface and endgame
E-013.03	E-013	design/02 §8	Recover Soul through attended zero-output activity	backend_fragment	player recovery surface and endgame
E-013.04	E-013	design/02 §8	Prevent passive idle Soul refill	backend_fragment	player recovery surface and endgame
E-013.05	E-013	design/02 §8	Resolve the terminal ending from Soul	backend_fragment	player recovery surface and endgame
E-014.01	E-014	design/02 §9	Accrue capped Compute Credits from offline time	mechanical_fragment	HUD/auto-spend/return workflow
E-014.02	E-014	design/02 §9	Spend Compute Credits on chosen acceleration	mechanical_fragment	HUD/auto-spend/return workflow
E-014.03	E-014	design/02 §9	See banked time in the primary HUD	mechanical_fragment	HUD/auto-spend/return workflow
E-014.04	E-014	design/02 §9	Opt into automatic Compute Credit spending	mechanical_fragment	HUD/auto-spend/return workflow
E-014.05	E-014	design/02 §9	Receive a visible return bonus after absence	mechanical_fragment	HUD/auto-spend/return workflow
E-015.01	E-015	design/02 §10	Complete a daily activity bar with a done state	absent	future accepted RFCs
E-015.02	E-015	design/02 §10	Accumulate lifetime streak days without reset	absent	future accepted RFCs
E-015.03	E-015	design/02 §10	Use the published weekly theme calendar	absent	future accepted RFCs
E-015.04	E-015	design/02 §10	Compare with one bracketed weekly rival	absent	future accepted RFCs
E-015.05	E-015	design/02 §10	Spend event scrip at posted exchange-shop prices	absent	future accepted RFCs
E-015.06	E-015	design/02 §10	Auto-convert leftover event scrip	absent	future accepted RFCs
E-015.07	E-015	design/02 §10	Keep daily systems from gating tier or Fiscal progress	absent	future accepted RFCs
E-016.01	E-016	design/02 §11	Reach the first generator within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-016.02	E-016	design/02 §11	Reach Tier 1 within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-016.03	E-016	design/02 §11	Reach the first minigame within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-016.04	E-016	design/02 §11	Reach the first elective Exit within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-016.05	E-016	design/02 §11	Reach Tier 3 within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-016.06	E-016	design/02 §11	Establish the first Earnings Call within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-016.07	E-016	design/02 §11	Reach Tier 4 within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-016.08	E-016	design/02 §11	Reach Tier 5 within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-016.09	E-016	design/02 §11	Reach Tier 6 within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-016.10	E-016	design/02 §11	Reach the first ending within target	proven_t0_t1_only	R-001 plus later-tier scenarios
E-017.01	E-017	design/02 §11b	Keep each purchasable relevant to at least one persona	bounded_t0_t1_evidence	R-001 current-head validity
E-017.02	E-017	design/02 §11b	Detect trap purchases in the reference persona	bounded_t0_t1_evidence	R-001 current-head validity
E-017.03	E-017	design/02 §11b	Publish per-tier contribution shares by epoch	bounded_t0_t1_evidence	R-001 current-head validity
E-018.01	E-018	design/02 §12	Preserve Go and TypeScript big-number parity	proven_integration	preserve golden vectors
E-018.02	E-018	design/02 §12	Use canonical decimal strings on the wire	proven_integration	preserve golden vectors
E-018.03	E-018	design/02 §12	Refuse to persist NaN state	proven_integration	preserve golden vectors
M-001.01	M-001	design/03 contract	Declare the clock for every minigame	claimed_framework	per-minigame implementation matrix
M-001.02	M-001	design/03 contract	Declare the economy hook for every minigame	claimed_framework	per-minigame implementation matrix
M-001.03	M-001	design/03 contract	Provide an honest fallback for every multiplayer minigame	claimed_framework	per-minigame implementation matrix
M-001.04	M-001	design/03 contract	Stagger minigame unlocks	claimed_framework	per-minigame implementation matrix
M-001.05	M-001	design/03 contract	Persist minigame state and results	claimed_framework	per-minigame implementation matrix
M-001.06	M-001	design/03 contract	Freeze scaling inputs at session creation	claimed_framework	per-minigame implementation matrix
M-001.07	M-001	design/03 contract	Apply offline-quality policy	claimed_framework	per-minigame implementation matrix
M-002.01	M-002	design/03 §1	Server Garden	absent	future RFC
M-003.01	M-003	design/03 §2	Advisory Board	absent	future RFC
M-004.01	M-004	design/03 §3	Ship-It Spellbook	absent	future RFC
M-005.01	M-005	design/03 §4	The Market	absent	future RFC
M-006.01	M-006	design/03 §5	Play each designed board game	absent	research/license checks and future RFC
M-006.02	M-006	design/03 §5	Enter flat ranked board-game play	absent	research/license checks and future RFC
M-006.03	M-006	design/03 §5	Receive bot matchmaking for board games	absent	research/license checks and future RFC
M-007.01	M-007	design/03 §5b	Enter a regional parlor	absent	milestone/content decisions and RFC graph
M-007.02	M-007	design/03 §5b	Use social parlor rituals	absent	milestone/content decisions and RFC graph
M-007.03	M-007	design/03 §5b	Play the declared parlor game taxonomy	absent	milestone/content decisions and RFC graph
M-008.01	M-008	design/03 missing §5c	Zero-reward cozy minigames as sole Soul recovery source	contradictory_missing_section	RP-017 author reconciliation
M-009.01	M-009	design/03 §6	Incident Response	absent	future RFC
M-010.01	M-010	design/03 §7	Terminal Typer	absent	future RFC
M-011.01	M-011	design/03 §8	Open the Demo Disc Arcade	static_parody_fragment	RP-017 plus actual minigame/content RFC
M-011.02	M-011	design/03 §8	Play a real arcade tenant from the Demo Disc	static_parody_fragment	RP-017 plus actual minigame/content RFC
M-012.01	M-012	design/03 §9	Bakery Inc.	absent	future RFC
M-013.01	M-013	design/03 §10	Play the lane-pusher minigame	arithmetic_only	combat parent/child RFCs
M-013.02	M-013	design/03 §10	Receive an honest lane-pusher bot opponent	arithmetic_only	combat parent/child RFCs
M-014.01	M-014	design/03 §10b	Play a pet battle	arithmetic_only	combat parent/child RFCs
M-014.02	M-014	design/03 §10b	Receive an honest pet-battle bot opponent	arithmetic_only	combat parent/child RFCs
M-015.01	M-015	design/03 §12a	Complete a five-minute daily minigame session	absent	future RFC
M-015.02	M-015	design/03 §12a	Stop without losing progress or rewards after the daily session	absent	future RFC
M-016.01	M-016	design/03 §12b	Freeze tier scaling inputs at minigame creation	backend_fragment	platform body reconciliation and player consumers
M-016.02	M-016	design/03 §12b	Apply declared fairness bounds	backend_fragment	platform body reconciliation and player consumers
M-016.03	M-016	design/03 §12b	Decay offline automation quality visibly	backend_fragment	platform body reconciliation and player consumers
M-017.01	M-017	archived Pitch RFC/The Pitch design seam	Create and play a Pitch session	backend_proven_surface_absent	Minigame API Surface MA-C9
M-017.02	M-017	archived Pitch RFC/The Pitch design seam	Reconnect to an in-progress Pitch session	backend_proven_surface_absent	Minigame API Surface MA-C9
M-017.03	M-017	archived Pitch RFC/The Pitch design seam	Resolve Pitch rewards	backend_proven_surface_absent	Minigame API Surface MA-C9
M-017.04	M-017	archived Pitch RFC/The Pitch design seam	Complete Pitch through a mounted player surface	backend_proven_surface_absent	Minigame API Surface MA-C9
P-001.01	P-001	design/04 §1	Acquire a Founder companion	backend_policy_fragment	acquisition and UI workflow RFC
P-001.02	P-001	design/04 §1	Apply offline-safe pet care decay	backend_policy_fragment	acquisition and UI workflow RFC
P-001.03	P-001	design/04 §1	Perform a pet care action	backend_policy_fragment	acquisition and UI workflow RFC
P-001.04	P-001	design/04 §1	Observe pet behavior state	backend_policy_fragment	acquisition and UI workflow RFC
P-001.05	P-001	design/04 §1	Observe pet bond or trust	backend_policy_fragment	acquisition and UI workflow RFC
P-002.01	P-002	design/04 §2	Resolve a hardcapped pet battle	arithmetic_only	combat RFC sequence
P-002.02	P-002	design/04 §2	Apply care state to battle reliability	arithmetic_only	combat RFC sequence
P-002.03	P-002	design/04 §2	Play pet battles against an honest bot	arithmetic_only	combat RFC sequence
P-003.01	P-003	design/04 §3	Decorate a cosmetic house	absent	future RFC
P-003.02	P-003	design/04 §3	Visit another player's house without destructive interaction	absent	future RFC
P-004.01	P-004	design/04 §4	Open a free cosmetic lootbox	copy_static_fragment	catalog/acquisition/UI/legal proof
P-004.02	P-004	design/04 §4	See exact cosmetic odds	copy_static_fragment	catalog/acquisition/UI/legal proof
P-004.03	P-004	design/04 §4	See the cosmetic dark-pattern disclosure	copy_static_fragment	catalog/acquisition/UI/legal proof
P-004.04	P-004	design/04 §4	Equip a cosmetic reward	copy_static_fragment	catalog/acquisition/UI/legal proof
P-005.01	P-005	design/04 §5	Breed cosmetic pet traits	absent	future RFC
P-005.02	P-005	design/04 §5	Retire an elder pet without punitive loss	absent	future RFC
P-006.01	P-006	design/04 §6	Render a pet from CSS parts	absent	client/rendering RFC
P-006.02	P-006	design/04 §6	Respect reduced motion in creature rendering	absent	client/rendering RFC
S-001.01	S-001	design/05 §1	Contribute to a global milestone	structural_fragments	World/Events accepted RFCs and telemetry research
S-001.02	S-001	design/05 §1	Receive a personal contribution reward	structural_fragments	World/Events accepted RFCs and telemetry research
S-001.03	S-001	design/05 §1	Unlock a global milestone tier	structural_fragments	World/Events accepted RFCs and telemetry research
S-001.04	S-001	design/05 §1	Observe canonical milestone failure	structural_fragments	World/Events accepted RFCs and telemetry research
S-001.05	S-001	design/05 §1	Receive mercy-scaled NPC contribution	structural_fragments	World/Events accepted RFCs and telemetry research
S-002.01	S-002	design/05 §2	Read a live activity feed	transport_fragment	Feed/World UI and real content
S-002.02	S-002	design/05 §2	Observe truthful live world counters	transport_fragment	Feed/World UI and real content
S-002.03	S-002	design/05 §2	See player ghosts without exposing hidden data	transport_fragment	Feed/World UI and real content
S-002.04	S-002	design/05 §2	See labeled NPC activity when population is low	transport_fragment	Feed/World UI and real content
S-003.01	S-003	design/05 §3	Create join leave and dissolve a guild	backend_fragment	Commons Onboarding acceptance and UI
S-003.02	S-003	design/05 §3	Exchange guild resources through declared verbs	backend_fragment	Commons Onboarding acceptance and UI
S-003.03	S-003	design/05 §3	Participate in a weekly guild ritual	backend_fragment	Commons Onboarding acceptance and UI
S-003.04	S-003	design/05 §3	Interact with an NPC guild network	backend_fragment	Commons Onboarding acceptance and UI
S-004.01	S-004	design/05 §4	Play non-destructive direct PvP	absent_beyond_platform	combat/minigame/social RFCs
S-004.02	S-004	design/05 §4	Receive honest bot fallback for each PvP mode	absent_beyond_platform	combat/minigame/social RFCs
S-005.01	S-005	design/05 §5	Enter the Commons from a player surface	backend_foundation	Commons Onboarding accepted RFC and UI
S-005.02	S-005	design/05 §5	Choose Commons governance actions	backend_foundation	Commons Onboarding accepted RFC and UI
S-005.03	S-005	design/05 §5	Receive a stable cohort assignment	backend_foundation	Commons Onboarding accepted RFC and UI
S-005.04	S-005	design/05 §5	Inspect the published Commons formula	backend_foundation	Commons Onboarding accepted RFC and UI
S-006.01	S-006	design/05 §6	Submit a verified run to a board	mechanical_fragment	Leaderboards/API/UI closeout
S-006.02	S-006	design/05 §6	Browse derived leaderboard ranks	mechanical_fragment	Leaderboards/API/UI closeout
S-006.03	S-006	design/05 §6	Choose a declared run category	mechanical_fragment	Leaderboards/API/UI closeout
S-006.04	S-006	design/05 §6	Register and execute named routes	mechanical_fragment	Leaderboards/API/UI closeout
S-006.05	S-006	design/05 §6	Inspect public run evidence	mechanical_fragment	Leaderboards/API/UI closeout
S-007.01	S-007	design/05 §8	Optional Discord embedding	deferred_post_launch	no current action
S-008.01	S-008	design/05 UGC ownership	Retain ownership of player-authored content	claimed_policy	legal copy plus schema enforcement before UGC
S-008.02	S-008	design/05 UGC ownership	Receive attribution for player-authored content	claimed_policy	legal copy plus schema enforcement before UGC
S-008.03	S-008	design/05 UGC ownership	Preserve fork lineage for player-authored content	claimed_policy	legal copy plus schema enforcement before UGC
A-001.01	A-001	design/06 stack	Run the authoritative Go game server	partial_integration	Astro/Caddy/deploy and runtime topology gaps
A-001.02	A-001	design/06 stack	Persist production state in Postgres	partial_integration	Astro/Caddy/deploy and runtime topology gaps
A-001.03	A-001	design/06 stack	Use the Svelte browser application	partial_integration	Astro/Caddy/deploy and runtime topology gaps
A-001.04	A-001	design/06 stack	Receive realtime updates through Centrifuge	partial_integration	Astro/Caddy/deploy and runtime topology gaps
A-001.05	A-001	design/06 stack	Serve site pages through Astro	partial_integration	Astro/Caddy/deploy and runtime topology gaps
A-001.06	A-001	design/06 stack	Proxy production traffic through Caddy	partial_integration	Astro/Caddy/deploy and runtime topology gaps
A-001.07	A-001	design/06 stack	Deploy the production stack through Compose	partial_integration	Astro/Caddy/deploy and runtime topology gaps
A-002.01	A-002	design/06 idle math	Evaluate idle production lazily from elapsed time	proven_bounded	threshold mechanics audit
A-002.02	A-002	design/06 idle math	Keep authoritative production on the server	proven_bounded	threshold mechanics audit
A-002.03	A-002	design/06 idle math	Keep client prediction numerically aligned with authoritative production	proven_bounded	threshold mechanics audit
A-003.01	A-003	design/06 anti-cheat	Rate-limit abusive requests	mechanical_fragments	end-to-end abuse/refusal audit
A-003.02	A-003	design/06 anti-cheat	Deduplicate repeated intents	mechanical_fragments	end-to-end abuse/refusal audit
A-003.03	A-003	design/06 anti-cheat	Reject invariant-violating transitions	mechanical_fragments	end-to-end abuse/refusal audit
A-003.04	A-003	design/06 anti-cheat	Validate minigame commands authoritatively	mechanical_fragments	end-to-end abuse/refusal audit
A-003.05	A-003	design/06 anti-cheat	Verify ranked runs before projection	mechanical_fragments	end-to-end abuse/refusal audit
A-003.06	A-003	design/06 anti-cheat	Reject invalid or poisoned saves	mechanical_fragments	end-to-end abuse/refusal audit
