rfc_filename	planning_directory	status	lines	open_plan_boxes	review_by_tokens	reviewed_range_tokens	active_rfc_refs	canonical_docs	existing_rp	risk_score	selection	replay_verdict
production-contract-integrity.md	production-contract-integrity	implemented	196	0	0	0	0	production-engine.md;save-layer.md	-	4	structural-only	structural_only_not_replayed
production-engine-and-intents.md	production-engine-and-intents	implemented	274	0	0	0	0	production-engine.md;economy-kernel.md;save-layer.md	-	4	domain-floor/production	proven_bounded
production-hardcap-saturation.md	production-hardcap-saturation	implemented	114	0	0	0	0	production-engine.md;economy-kernel.md	-	4	structural-only	structural_only_not_replayed
purchasable-content-foundation.md	purchasable-content-foundation	implemented	174	0	9	5	0	purchasable-content.md;production-engine.md;economy-kernel.md	-	0	low-risk-control/economy	proven_bounded
relevance-harness.md	relevance-harness	implemented	529	0	10	4	0	balance-harness.md;production-engine.md	RP-001;RP-022;RP-023;RP-059	7	current-CI/evidence	qualified_current_workload_regression
resource-log-domain-parity.md	resource-log-domain-parity	implemented	101	0	0	0	0	economy-kernel.md;production-engine.md	-	4	structural-only	structural_only_not_replayed
route-registry-event-order-convergence.md	route-registry-event-order-convergence	implemented	92	0	0	0	0	routes.md	-	4	structural-only	structural_only_not_replayed
route-temporal-validity.md	route-temporal-validity	implemented	60	0	0	0	0	routes.md	-	4	structural-only	structural_only_not_replayed
run-genesis-and-replay.md	run-genesis-and-replay	implemented	271	0	1	0	0	leaderboards-and-epochs.md	RP-043	9	mandatory-score/replay	qualified_record_debt_remediation_live
save-archive-cas.md	save-archive-cas	implemented	46	0	0	0	0	save-layer.md	-	4	structural-only	structural_only_not_replayed
save-layer-and-migrations.md	save-layer-and-migrations	implemented	214	0	0	0	0	save-layer.md	-	4	domain-floor/save	proven_bounded_postgres_lane_required
soul-foundation.md	soul-foundation	implemented	815	0	9	0	0	soul.md;production-engine.md;save-layer.md	-	6	current-canonical-successor-trace	defect_stale_canonical_activation_claim
soul-recovery-activities.md	soul-recovery-activities	implemented-fixture-first	373	1	4	0	0	soul-recovery.md;soul.md	-	8	mandatory-open-box/content	qualified_carried_box_valid_docs_split
t0-t1-playable-content.md	t0-t1-content	implemented	875	0	37	0	0	t0-t1-playable-content.md;balance-harness.md;prestige-and-exits.md	RP-008;RP-021;RP-033	11	mandatory-score/content/workflow	defect_player_capability_overclaim
ui-foundation.md	ui-foundation	implemented	309	0	6	0	0	ui-foundation.md	-	4	domain-floor/client-ui	proven_bounded_primitives_only
