id	design_ref	bounded_outcome	preliminary_state	next_evidence_or_route
S-003	design/05 §3	Player guild lifecycle, exchange, ritual and NPC network	backend_fragment	Commons Onboarding acceptance and UI
S-004	design/05 §4	Non-destructive PvP and honest fallback per mode	absent_beyond_platform	combat/minigame/social RFCs
S-005	design/05 §5	Commons front door, governance, cohorts and visible formula	backend_foundation	Commons Onboarding accepted RFC and UI
S-006	design/05 §6	Derived verified boards, categories, routes and public evidence	mechanical_fragment	Leaderboards/API/UI closeout
S-007	design/05 §8	Optional Discord embedding	deferred_post_launch	no current action
S-008	design/05 UGC ownership	Creator ownership, attribution and lineage	claimed_policy	legal copy plus schema enforcement before UGC
A-001	design/06 stack	Go/Postgres/Svelte/Centrifuge/chi/browser architecture	partial_integration	Astro/Caddy/deploy and runtime topology gaps
A-002	design/06 idle math	Lazy closed-form server authority and prediction parity	proven_bounded	threshold mechanics audit
A-003	design/06 anti-cheat	Rate/idempotency/invariant/minigame/board/save protections	mechanical_fragments	end-to-end abuse/refusal audit
A-004	design/06 minigame AI	Honest bots, matchmaker and per-game engines	absent	future research/RFCs
A-005	design/06 anonymous play	Server identity plus local-only outage path	body_drift_and_missing_fallback	RP-007 author reconciliation/account successor
RD-000	design/07 Phase 0	Private T0-T1 click-to-first-Exit build with harness	partially_proven_public_repo	full browser first-hour and R-001
RD-001	design/07 Phase 1	Public tiers 0-2 plus early minigames/pet/presence	absent_beyond_t1	D-001/D-007
RD-002	design/07 Phase 2	Tier 3, factions/guilds, milestones and Events L1-2	absent_beyond_foundations	dependency DAG
RD-003	design/07 Phase 3	Tier 4, world, Lane, boards and Events L3	absent_beyond_foundations	dependency DAG
RD-004	design/07 Phase 4	Tier 5, commons, combat, challenges, founder arc	absent_beyond_foundations	dependency DAG
RD-005	design/07 Phase 5	Tiers 6-8 and all endings	absent	D-001/D-007 and dependency DAG
F-001	design/08 §1	Player-facing text follows voice, sourcing and target rules	mechanical_pipeline	full shipped-copy citation/editorial audit
F-002	design/08 §2	Era presentation from T0 through T8	T0_fragment	later era UI/content
F-003	design/08 §3	Launch-scale researched content banks	absent_at_scale	ignored research and copy production program
F-004	design/08 §4	Conspiracy narrative arc	absent	Events/content RFCs
F-005	design/08 §5	Media canonization response events	absent	Events/content RFCs
F-006	design/08 §6	Speedrun chrome, categories, route discovery and retrospective	mechanical_fragment	Game UI/Leaderboards/API/content consumers
F-007	design/08 §7	Shipped honesty appendix	absent	release-floor/content RFC
EV-001	design/09 §1	Declarative event DSL and on-action dispatch	absent	Events L1 acceptance/body review
EV-002	design/09 §2	Personal events and founder story cycles	absent	Events/content RFCs
EV-003	design/09 §3	Visible forecastable pressure meters	meter_kernel_fragment	Events/content/UI
EV-004	design/09 §4	Situations, Major Orders and personal objective floor	absent	World/Events RFCs
EV-005	design/09 §5	Posted-price event-scrip shop with conversion	absent	Events/economy RFC
EV-006	design/09 §6	Seasonal arcs and evergreen fold-in	absent	ops/content program
EV-007	design/09 §7	GM dashboard, public war log and watchdogs	absent	ops/Events RFC
PS-001	design/10 §1	Four rule-distinct factions and interdependence	backend_fragment	player selection and later faction verbs
PS-002	design/10 §2	Active/idle/check-in/banker builds and separate boards	mechanical_fragments	full loops and board consumers
PS-003	design/10 §3	Reversible ideology toggles with two viable games	absent	future RFC
PS-004	design/10 §3b	Irreversible tier doctrines with viable ending routes	catalog_kernel_fragment	later transitions/content/harness
PS-005	design/10 §4	Rule-modified challenge runs	absent	future RFC
PS-006	design/10 §5	Canon/Ethical routes and persistent moral ledger	mechanical_fragments	full content/endings
PS-007	design/10 §6	Shareable AGI policy scripts	absent	future RFC
UX-001	design/11 §1	Honest contract screen and bounded return sequence	partial	RP-018 plus full browser workflow
UX-002	design/11 §1b	Server-anonymous default, local fallback, Vision Slide and run-1 presence budget	partial	RP-007 plus full first-session proof
UX-003	design/11 §2	Diegetic progressive teaching and first-10-minute outcomes	partial_static	full first-session usability research
UX-004	design/11 §3	Five-part run-end narrative and scripted first failure	server_content_plus_partial_UI	full browser AC1
UX-005	design/11 §3	Advisor Mode accessibility path	absent	owner release floor/future RFC
UX-006	design/11 §4	Multi-run first ending and completion pyramid	absent_beyond_first_exit	D-007/content DAG
UX-007	design/11 §5	Launch-scale copy surface targets	absent_at_scale	copy production/research program
UX-008	design/11 §6	Data-driven copy, lint, citations and localization shape	mechanical_pipeline	full real-content/editorial coverage
UX-009	design/11 §7	Depth-2, responsive, accessible core UI	partial	task-level accessibility/reflow/mobile audit
CP-001	design/12 §1	Versioned additive content packs and staging	absent_as_described	design/RFC reconciliation and future contract
CP-002	design/12 §2	Data-first extensibility with code only for new verbs	partial_catalog_families	pack/extension ownership audit
CP-003	design/12 §3	One minigame socket	body_drift	RP-019/Minigame Platform reconciliation
CP-004	design/12 §4	Closed event-effects vocabulary	absent	Events RFC
CP-005	design/12 §5	Research-to-epoch current-events pipeline	body_contradiction_absent_runtime	RP-020 plus deployment/content RFCs
CP-006	design/12 §7	Pack-set save compatibility and graceful retirement	absent_as_pack_system	future accepted RFC
W-001	design/13 §2	State-derived personal diorama with return fast-forward	absent	world/rendering RFC
W-002	design/13 §3	Adoption/regulation spatial campaign	absent	v1.0 future RFC
W-003	design/13 §4	Shared world, regional Planet ratchet and public artifact	world_snapshot_fragment	World RFC plus map/content/UI
W-004	design/13 §5	Region draft and Thermal Law	absent	World/content RFC
W-005	design/13 §6	Pixi/WebGPU interactive view plus baked overview	absent	rendering research/RFC
