number	file	domain	up_marker	down_marker	current_executable_evidence	remaining_proof_limit
00055	00055_founder_log_archive_lock.sql	account	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00056	00056_founder_genesis.sql	account	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00057	00057_founder_exit_log_link.sql	account	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00058	00058_minigame_faucet_window.sql	minigame	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00059	00059_pet_care_events.sql	pet	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00060	00060_minigame_resolution_receipt.sql	minigame	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00061	00061_minigame_resolution_events.sql	minigame	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00062	00062_founder_multistream_log_link.sql	account	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00063	00063_doctrine_compute_events.sql	doctrine	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00064	00064_fiscal_events.sql	fiscal	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00065	00065_run_frozen_contributions.sql	production	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00066	00066_active_play_events.sql	activeplay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00067	00067_active_play_event_schema_v2.sql	activeplay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00068	00068_soul_recovery_sessions.sql	soul	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00069	00069_soul_recovery_founder_log_link.sql	soul	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00070	00070_soul_recovery_progress.sql	soul	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00071	00071_minigame_api_receipts.sql	minigame	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00072	00072_exit_offer_resolved.sql	prestige	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00073	00073_bootstrap_receipts.sql	account	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00074	00074_run_ended_v3.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
